study_hours,sleep_hours,screen_time,gaming_hours,attendance_percent,stress_level,marks
5.49,4.61,7.35,2.75,83.17,3.6,66.42
4.22,6.1,3.71,1.64,98.75,4.7,76.75
5.8,7.01,5.24,2.74,78.54,3.4,77.14
7.55,7.07,3.84,3.59,77.01,4.4,88.81
4.03,6.32,3.91,2.6,80.17,1.2,89.85
4.03,7.93,4.23,2.58,75.47,5.4,80.58
7.66,5.4,5.56,1.1,86.23,5.0,78.94
6.03,6.79,3.8,1.17,100.0,3.4,97.57
3.56,7.18,8.14,0.0,88.23,6.3,70.02
5.59,7.77,2.76,6.0,82.48,6.9,66.27
3.57,8.07,4.53,0.01,82.08,1.8,85.16
3.57,5.31,3.9,1.11,69.37,3.5,79.08
4.98,4.7,8.62,1.06,93.83,3.5,62.96
0.67,8.92,5.49,4.29,84.22,3.1,46.75
1.05,7.5,7.58,1.91,83.2,6.7,54.1
3.38,5.88,1.29,5.0,100.0,4.6,72.03
2.47,9.33,5.67,1.15,87.99,4.5,71.68
5.13,7.17,7.22,3.06,77.48,1.0,81.83
2.68,8.77,5.21,0.83,80.74,6.3,66.57
1.68,7.1,7.66,6.79,96.48,2.5,43.25
7.43,10.0,3.71,0.12,86.13,5.1,100.0
4.05,9.63,8.52,3.12,70.62,5.6,74.4
4.64,6.63,10.75,3.77,94.19,7.7,56.98
1.65,8.46,4.09,3.33,78.32,2.4,62.24
3.41,7.97,3.89,2.13,100.0,1.0,68.77
4.72,9.05,8.63,2.24,95.8,5.4,78.34
2.2,5.55,8.95,2.59,80.53,8.6,46.24
5.25,8.03,3.69,2.21,97.81,7.5,78.49
3.3,8.59,3.95,4.43,85.68,5.4,76.02
3.92,4.36,4.3,6.92,93.53,4.0,60.47
3.3,5.23,1.64,1.39,89.85,6.6,70.37
8.2,3.94,2.7,0.0,76.54,3.1,89.1
4.47,6.6,2.49,2.32,78.56,6.0,72.13
2.38,8.08,3.08,7.66,95.3,6.0,57.29
6.15,9.25,4.91,0.89,81.65,7.1,85.83
2.06,7.11,5.59,5.78,80.96,10.0,39.5
4.92,9.44,8.88,5.86,75.45,5.8,65.52
0.58,4.93,2.5,1.39,89.24,4.0,59.41
1.84,4.44,7.46,3.64,100.0,4.9,46.0
4.89,6.92,4.47,5.76,74.32,1.5,63.68
5.98,7.58,4.88,1.74,85.24,3.6,100.0
4.84,6.95,6.69,2.09,99.12,4.2,87.93
4.27,3.9,2.19,1.34,84.2,4.0,62.12
3.9,6.87,5.96,0.47,89.52,5.3,75.43
1.54,5.04,5.42,1.2,74.38,3.4,48.92
3.06,8.0,6.23,0.05,89.28,7.2,65.44
3.58,7.55,5.72,2.57,83.13,5.0,68.88
6.61,5.59,11.14,0.96,94.86,5.0,75.14
5.19,6.23,3.41,2.97,96.87,4.3,74.33
0.97,5.41,3.67,0.0,100.0,5.3,50.01
5.15,6.91,3.44,3.16,90.8,6.7,68.27
3.73,8.43,3.61,4.17,88.26,3.3,68.29
3.15,5.52,3.41,0.0,86.94,3.7,69.29
5.72,7.76,7.97,3.25,81.47,4.4,70.78
6.56,6.2,8.55,4.96,88.38,2.3,86.52
6.36,5.81,3.57,0.08,82.05,3.4,100.0
2.82,6.84,2.92,5.85,86.68,4.0,58.82
3.88,5.45,6.18,3.34,98.18,6.7,63.96
5.16,6.17,3.62,1.09,74.93,5.5,79.51
6.45,5.2,6.58,2.39,96.4,5.4,83.65
3.54,9.95,5.51,3.62,98.17,6.7,70.38
4.13,7.05,1.21,2.65,83.82,4.7,82.13
2.29,5.95,8.87,3.58,63.78,5.8,48.08
2.11,7.32,9.49,0.66,78.92,4.8,43.56
6.13,6.83,3.47,2.84,97.97,5.5,92.29
7.21,6.67,4.03,0.0,84.77,3.8,100.0
4.36,7.92,5.71,2.28,75.01,1.0,72.57
6.51,8.14,5.84,0.69,79.95,4.7,87.56
5.22,6.2,6.65,1.03,93.41,7.8,76.0
3.21,6.14,10.03,4.97,90.47,6.9,48.24
5.22,6.59,4.56,4.68,82.61,6.9,78.3
7.58,3.55,3.0,3.72,81.33,7.5,98.82
4.43,4.73,1.55,0.32,81.08,5.2,67.89
7.63,9.05,3.17,1.87,75.78,5.4,85.19
